Packet number, Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Acceleromter Y (g),Accelerometer Z (g), Magnetometer X (G), Magnetometer Y (G), Magnetometer Z (G)
208, -3.948, -1.211,-40.831,  -0.096, -0.103,  0.964,  0.053, -0.010,  0.355
209, -3.275, -7.664,-20.344,  -0.160, -0.230,  0.882,  0.031, -0.005,  0.337
210,-13.862, -6.811,-17.286,  -0.127, -0.263,  0.953,  0.036, -0.005,  0.344
211, 10.894,-14.640, 11.462,  -0.096, -0.219,  1.059,  0.057, -0.003,  0.349
212, -5.323,  4.950, -3.978,  -0.123, -0.022,  0.943,  0.045, -0.012,  0.361
213, -7.776,  8.800, -6.550,  -0.097,  0.007,  0.961,  0.036, -0.013,  0.355
214, -9.182,  8.770, -7.963,  -0.086, -0.018,  0.988,  0.046, -0.011,  0.351
215,  5.436,  0.254,-15.402,  -0.058, -0.143,  0.953,  0.048, -0.010,  0.356
216,  4.658,  7.148,  2.953,  -0.151, -0.269,  0.995,  0.033, -0.005,  0.349
217,  6.864,  0.636, 22.528,  -0.090, -0.147,  0.950,  0.013, -0.017,  0.324
218, -9.914, 18.012, 19.200,  -0.020,  0.021,  1.040,  0.046, -0.022,  0.370
219,  4.008,  1.862, 33.616,  -0.012,  0.143,  1.018,  0.057, -0.031,  0.361
220,  5.795,  0.822, 28.606,  -0.066,  0.243,  0.880,  0.062, -0.053,  0.383
221, -1.772,  4.867, 12.643,  -0.060,  0.350,  0.953,  0.069, -0.073,  0.418
222, -4.000,  3.297, -5.525,  -0.103,  0.202,  1.007,  0.071, -0.077,  0.428
223, -0.441,  0.680, -7.245,  -0.120,  0.097,  1.012,  0.071, -0.078,  0.428
224, -3.925, -2.744, -7.462,  -0.057,  0.176,  0.919,  0.066, -0.081,  0.418
225, 12.411,-13.017,-13.047,  -0.048,  0.444,  1.055,  0.056, -0.082,  0.407
226,  7.611,  6.609,-40.240,   0.032,  0.364,  0.979,  0.057, -0.076,  0.388
227,-21.331,  3.746,-42.184,  -0.063,  0.145,  0.857,  0.049, -0.062,  0.383
228,-23.320, -2.280,-32.980,  -0.046, -0.035,  0.921,  0.023, -0.057,  0.376
229,-13.331, -4.090,-31.702,  -0.071, -0.136,  0.938,  0.026, -0.040,  0.363
230,-16.270, -6.243, -4.337,  -0.130, -0.194,  0.975,  0.032, -0.040,  0.366
231, 26.303,-17.548,  4.015,   0.018,  0.019,  0.879,  0.044, -0.053,  0.368
232,-10.976,  8.352, -7.634,  -0.017,  0.116,  0.973,  0.039, -0.054,  0.369
233,-11.514,  8.419, -8.008,  -0.081,  0.074,  0.978,  0.042, -0.048,  0.370
234, -8.666,  5.353, -8.060,  -0.079,  0.071,  0.976,  0.044, -0.045,  0.366
235, -6.497,  7.873,-11.626,  -0.068,  0.004,  0.973,  0.041, -0.042,  0.361
236, -3.768, 11.828, -9.189,  -0.067, -0.042,  1.022,  0.047, -0.040,  0.361
237,  3.088,  9.249, -8.658,  -0.107, -0.218,  0.981,  0.039, -0.036,  0.365
238, -5.877, 10.879, 19.522,  -0.099, -0.111,  1.014,  0.020, -0.036,  0.350
239,  1.391,  2.086, 45.900,  -0.025,  0.115,  1.024,  0.045, -0.040,  0.377
240, -9.593,  4.239, 46.102,  -0.054,  0.193,  0.964,  0.061, -0.056,  0.375
241, -2.774, 14.086, 30.311,  -0.064,  0.319,  1.029,  0.084, -0.065,  0.395
242,  1.735,  5.309, 14.909,  -0.117,  0.355,  0.950,  0.108, -0.075,  0.425
243,  0.194,  1.308, -5.323,  -0.142,  0.254,  0.986,  0.125, -0.079,  0.425
244, -1.413, -0.927,-14.445,  -0.137,  0.203,  0.941,  0.120, -0.078,  0.421
245,  1.226, -6.804,-19.328,  -0.073,  0.341,  0.964,  0.100, -0.077,  0.409
246, -7.686,-10.879,-47.126,  -0.101,  0.247,  0.919,  0.074, -0.073,  0.390
247, -9.256, -4.023,-53.384,  -0.088,  0.150,  1.000,  0.056, -0.043,  0.378
248, -8.217,  0.045,-47.149,  -0.100,  0.110,  0.932,  0.043, -0.039,  0.376
249,-13.787,  3.798,-43.171,  -0.087,  0.038,  0.968,  0.018, -0.038,  0.367
250,-18.303,  3.948,-39.575,  -0.130, -0.112,  0.964,  0.024, -0.031,  0.361
251,-16.157,  1.974,-18.767,  -0.081, -0.160,  1.005,  0.036, -0.020,  0.355
252, -4.329, -1.600, -3.836,  -0.109, -0.080,  1.010,  0.037, -0.021,  0.353
253, -4.471, -1.675,  1.024,  -0.031,  0.107,  1.027,  0.033, -0.020,  0.354
254, -4.486,  3.851, -5.346,  -0.096,  0.083,  0.998,  0.034, -0.022,  0.359
255, -4.763,  4.456, -6.527,  -0.070,  0.017,  0.989,  0.031, -0.022,  0.358
256,  4.090,  2.460, -1.690,  -0.110, -0.152,  0.984,  0.027, -0.024,  0.359
