Packet number, Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Acceleromter Y (g),Accelerometer Z (g), Magnetometer X (G), Magnetometer Y (G), Magnetometer Z (G)
371, -5.839,  4.845, -5.458,  -0.059,  0.046,  1.003, -0.221, -0.343,  0.321
372, -3.858,  5.092, -7.439,  -0.023,  0.075,  0.961, -0.219, -0.344,  0.320
373,-15.567,  3.634, -8.658,   0.049,  0.086,  0.895, -0.218, -0.345,  0.318
374, -5.585, 14.804, -5.608,   0.054,  0.020,  0.972, -0.210, -0.347,  0.323
375, -3.499,  6.737, -5.705,  -0.019,  0.010,  1.007, -0.203, -0.355,  0.333
376,  3.118,  2.759, -5.675,  -0.128,  0.115,  0.837, -0.195, -0.363,  0.341
377,  2.437,  8.389, -6.041,  -0.180,  0.237,  0.943, -0.190, -0.371,  0.340
378, -1.361,  9.675,  3.409,  -0.239,  0.214,  1.063, -0.206, -0.365,  0.333
379,-14.998,  7.402,  4.329,  -0.286,  0.113,  0.868, -0.215, -0.334,  0.333
380, -4.299,  5.189, -1.331,  -0.202,  0.006,  0.943, -0.164, -0.311,  0.357
381, -1.024,  6.991, -6.348,  -0.329,  0.154,  1.040, -0.130, -0.377,  0.354
382, -6.804, 10.834,  4.860,  -0.284,  0.122,  0.960, -0.161, -0.409,  0.342
383, -7.813,  6.490,  6.056,  -0.325,  0.156,  0.990, -0.183, -0.395,  0.326
384,-36.793, -8.800,  7.896,  -0.298,  0.104,  0.977, -0.194, -0.385,  0.327
385, -0.972,  3.604, -3.716,  -0.287,  0.109,  1.015, -0.198, -0.381,  0.331
386,  0.561,  2.707, -2.460,  -0.220,  0.122,  1.035, -0.193, -0.378,  0.328
387, -4.374,  0.845, -6.258,  -0.244,  0.139,  0.980, -0.202, -0.383,  0.330
388, -4.688,  1.809, -6.819,  -0.252,  0.151,  0.959, -0.194, -0.386,  0.322
389, -6.684,  0.763, -5.638,  -0.317,  0.143,  0.998, -0.193, -0.390,  0.321
390,-14.767, -9.488,-10.236,  -0.369,  0.144,  1.023, -0.176, -0.397,  0.327
391, -5.271,-14.318,-16.554,  -0.361,  0.106,  0.895, -0.152, -0.374,  0.343
392,  5.832, -4.927,-21.227,  -0.293,  0.163,  1.046, -0.204, -0.318,  0.349
393,-17.989,-20.023,-13.533,  -0.199,  0.254,  0.954, -0.226, -0.349,  0.330
394,-12.030, -2.609, -6.146,  -0.037,  0.053,  0.936, -0.219, -0.363,  0.326
395,-21.630, 17.055, -2.310,  -0.086,  0.064,  0.958, -0.204, -0.371,  0.328
396, 18.505,  5.436,  0.015,  -0.099,  0.166,  1.138, -0.195, -0.372,  0.326
397,-21.593, -8.232,  0.411,  -0.146,  0.065,  0.854, -0.216, -0.361,  0.320
398,-44.098,  9.570,-19.612,   0.188,  0.199,  0.932, -0.210, -0.346,  0.330
399,  3.888, 23.657, -9.600,   0.089,  0.134,  1.049, -0.203, -0.338,  0.335
400,-14.475,-14.782,  1.032,  -0.026, -0.047,  0.886, -0.205, -0.337,  0.330
401,-18.341, 14.916,-11.193,  -0.124,  0.064,  0.934, -0.205, -0.334,  0.339
402,-22.386,  6.744,-15.312,  -0.193,  0.051,  1.032, -0.200, -0.336,  0.343
403,-10.116,  6.789, -3.155,  -0.202,  0.000,  1.004, -0.195, -0.332,  0.346
404, -2.632,  5.937, -2.108,  -0.187,  0.019,  1.031, -0.192, -0.337,  0.349
405, -8.449,  2.108, -2.647,  -0.177,  0.011,  0.966, -0.194, -0.334,  0.343
406, -6.565,  6.879, -4.666,  -0.203,  0.017,  1.029, -0.193, -0.333,  0.344
407,-11.567,  4.494, -1.996,  -0.182,  0.096,  1.221, -0.191, -0.334,  0.350
408,  9.017,-15.185,-10.079,  -0.173, -0.055,  1.261, -0.201, -0.324,  0.346
409, 20.486,-20.883, -7.933,  -0.100,  0.004,  1.064, -0.212, -0.337,  0.325
410, 48.457, -6.879, 10.946,  -0.099, -0.023,  1.110, -0.227, -0.348,  0.305
411,  3.806,-12.329, -3.133,   0.007,  0.223,  0.878, -0.239, -0.354,  0.294
412, -8.464, -1.779, 11.238,  -0.036,  0.200,  0.792, -0.247, -0.359,  0.296
413, -1.578, 12.890, 14.752,  -0.018,  0.211,  0.801, -0.254, -0.349,  0.288
414, -0.060, -0.366, 13.406,  -0.036,  0.125,  0.776, -0.263, -0.355,  0.279
415, -8.509,  9.339,  0.299,   0.020,  0.254,  0.906, -0.266, -0.343,  0.279
416,-12.404, -2.094, -0.374,  -0.009,  0.155,  0.878, -0.269, -0.339,  0.278
417, -7.626,  3.462, -1.630,   0.030,  0.184,  0.920, -0.272, -0.337,  0.280
418, -4.307,  2.363, -3.230,   0.037,  0.155,  0.959, -0.274, -0.337,  0.284
419, -2.258,  5.024, -6.438,   0.081,  0.128,  0.904, -0.276, -0.336,  0.283
420,-12.419,  1.279,-12.927,   0.218,  0.129,  0.893, -0.271, -0.334,  0.279
421, -1.854,  3.574,-25.466,   0.090,  0.149,  0.885, -0.264, -0.342,  0.279
422,-18.857,  6.325,  1.488,  -0.007,  0.166,  0.922, -0.260, -0.345,  0.287
423, -1.779, -0.022,  7.843,   0.005,  0.119,  0.976, -0.260, -0.343,  0.294
424,  5.069,  8.456, -4.374,  -0.012,  0.166,  1.052, -0.263, -0.350,  0.286
425,  6.198,  9.466, -1.279,  -0.009,  0.245,  0.912, -0.261, -0.355,  0.282
426, -7.694, 16.793, -3.701,  -0.061,  0.181,  0.898, -0.252, -0.357,  0.284
427, -8.785, 14.341, -8.352,  -0.131,  0.181,  0.927, -0.244, -0.358,  0.295
428, -3.522, 22.139,-14.169,  -0.201,  0.300,  0.984, -0.230, -0.367,  0.297
429, -6.124, 12.927,-10.699,  -0.263,  0.258,  0.991, -0.209, -0.374,  0.314
430, -6.617,  8.920, -9.107,  -0.328,  0.299,  0.968, -0.204, -0.380,  0.316
431, -4.823,  7.402, -3.738,  -0.304,  0.247,  0.922, -0.210, -0.390,  0.321
432, -4.718,  5.226, -7.626,  -0.317,  0.304,  0.970, -0.204, -0.395,  0.321
433, -5.234,  2.796, -4.157,  -0.314,  0.305,  0.975, -0.206, -0.397,  0.322
434, -9.615,  3.925, -4.636,  -0.309,  0.292,  0.983, -0.209, -0.395,  0.327
435, -5.952,  0.546, -1.667,  -0.360,  0.308,  1.046, -0.205, -0.398,  0.326
436,-25.092, -7.342, -1.510,  -0.425,  0.316,  0.985, -0.209, -0.399,  0.324
437, 18.722, 14.572, -2.961,  -0.375,  0.343,  1.123, -0.201, -0.386,  0.325
438,  2.968, -1.555,  6.266,  -0.356,  0.347,  1.166, -0.193, -0.380,  0.320
439,-14.251, -2.692,  3.529,  -0.294,  0.194,  0.871, -0.210, -0.365,  0.310
440,-22.236,-10.774, -4.501,  -0.258,  0.234,  0.826, -0.220, -0.359,  0.315
441, -4.628,  2.714, -3.716,  -0.082,  0.219,  0.880, -0.221, -0.354,  0.311
442,  5.294, 13.002,  7.350,  -0.193,  0.151,  1.014, -0.224, -0.353,  0.304
443,-69.587,  1.510,-36.906,  -0.348, -0.108,  1.305, -0.219, -0.344,  0.317
444,-10.056,  9.383,-14.595,   0.233,  0.258,  1.010, -0.218, -0.331,  0.328
445, 22.101, 12.120, -1.690,   0.082,  0.136,  1.079, -0.215, -0.337,  0.326
446, -2.976,  6.348, -5.249,  -0.150,  0.005,  0.836, -0.221, -0.333,  0.320
447,  5.593, -2.408,-10.811,  -0.277,  0.206,  1.263, -0.216, -0.334,  0.322
448,  9.682,-13.937, 15.395,  -0.277,  0.234,  1.385, -0.221, -0.340,  0.316
449, 10.363,-21.541, 16.808,  -0.139,  0.149,  1.038, -0.248, -0.338,  0.300
