ax, ay, az, gx, gy, gz 
 -2.000, -1.097, -2.000,-244.163, -130.306, -243.804
 -1.977, -0.394, -1.116,-51.096, 226.293, -189.709
 -1.462,  0.092, -0.051,-29.825, 196.206, -139.502
 -0.986,  1.528,  0.465,-63.112,  83.725, -137.095
 -0.032,  1.245,  0.303, 35.298, -31.784,  27.320
  0.181,  0.820, -0.421,  8.479, -85.348,  33.533
  0.166,  0.940, -0.477,  7.312, -13.944,  -2.034
  0.040,  0.967, -0.290,  4.366,  -8.688,   3.327
  0.078,  0.954, -0.424,  1.585,  -9.294,  -1.735
  0.072,  0.933, -0.437,  3.208,   0.875,  -3.537
  0.010,  0.945, -0.360,  4.651,   4.643,  -3.895
  0.014,  0.936, -0.417,  3.880,  -0.703,  -0.329
  0.013,  0.916, -0.428,  2.908,  -4.217,   2.363
  0.028,  0.911, -0.434,  7.110,  -8.449,   2.452
  0.044,  0.939, -0.521, -0.912,  -6.804,   2.976
 -0.045,  0.875, -0.440,  4.905,  -3.851,   3.013
 -0.137,  0.749, -0.391, 22.169, -15.402,  11.724
 -0.222,  0.618, -0.443, 34.109, -52.435,  33.504
 -0.080,  0.641, -0.839, 65.908, -72.540,  54.588
 -0.076,  0.611, -1.050, 54.820, -59.239,  55.381
 -0.127,  0.399, -1.025, 51.455, -55.575,  75.224
 -0.115,  0.404, -1.154, 36.876, -45.893,  82.088
 -0.071,  0.260, -1.209, 59.515,  -8.486,  95.120
  0.022,  0.094, -1.116, 57.728,  22.326,  80.750
  0.062,  0.012, -1.138, 28.554,  34.827,  61.781
  0.067, -0.106, -1.054, 20.793,  20.180,  43.336
  0.116, -0.186, -1.041, 23.873,  23.694,  33.623
  0.105, -0.273, -1.018, 38.229,  22.887,  23.784
  0.081, -0.392, -0.951, 49.526,   7.776,  13.503
  0.108, -0.462, -0.819, 30.610,  -2.841,   7.439
  0.015, -0.531, -0.906, 28.689,   5.533,  -0.030
 -0.066, -0.636, -0.792, 66.215,  -2.557,  16.352
  0.059, -0.711, -0.725, 69.168,  11.380,  -1.017
 -0.040, -0.760, -0.677, 53.325,   8.740,  28.801
 -0.044, -0.865, -0.655, 23.395,  24.516,  44.218
 -0.243, -0.856, -0.535, 41.937,  -1.159,  57.332
 -0.310, -0.918, -0.510, 34.917, -18.423,  55.882
 -0.497, -0.882, -0.456, 25.758, -54.349,  89.258
 -0.700, -0.795, -0.305, 44.308, -17.570,  64.487
 -0.798, -0.767, -0.206, 14.169,  16.000,  40.330
 -0.857, -0.683, -0.269, -2.789,  33.309,  44.300
 -0.882, -0.556, -0.345,  1.122,  74.581,  43.545
 -0.936, -0.399, -0.345,-21.122,  -0.209,  72.817
 -1.052, -0.212, -0.289, -1.286, -33.593,  70.289
 -0.993, -0.009, -0.299, 32.726, -28.838,  41.855
 -0.946, -0.022, -0.286, 50.125, -36.210,  65.803
